game_id,spread_line_close,total_line_close,home_moneyline_close,away_moneyline_close
2025_04_MIN_PIT,-2.5,40.5,120,-142
2025_04_LAC_NYG,-6,43.5,225,-278
2025_04_CLE_DET,10,44.5,-535,400
2025_04_PHI_TB,-3.5,44.5,164,-198
2025_04_NO_BUF,15.5,47.5,-1350,800
2025_04_WAS_ATL,1.5,43.5,-130,110
2025_04_TEN_HOU,7,39.5,-410,320
2025_04_CAR_NE,5.5,42.5,-238,195
2025_04_IND_LAR,3.5,49.5,-192,160
2025_04_JAX_SF,3,46.5,-166,140
2025_04_BAL_KC,-2.5,48.5,124,-148
2025_04_CHI_LV,1.5,47.5,-112,-108
2025_04_GB_DAL,-7,47.5,285,-360
